NAZWA_KATALOGU;NAZWA_PLIKU;NAZWA_ZNAKU
Informacyjne;INFOR-01.png;Droga z pierwszeństwem
Informacyjne;INFOR-02.png;Koniec drogi z pierwszeństwem
Informacyjne;INFOR-03.png;Droga jednokierunkowa
Informacyjne;INFOR-04.png;Droga bez przejazdu
Informacyjne;INFOR-05.png;Pierwszeństwo na zwężonym odcinku jezdni
Informacyjne;INFOR-06.png;Przejście dla pieszych
Informacyjne;INFOR-07.png;Przejazd dla rowerzystów
Informacyjne;INFOR-08.png;Przejście dla pieszych i przejazd dla rowerzystów
Informacyjne;INFOR-09.png;Droga ekspresowa
Informacyjne;INFOR-10.png;Koniec drogi ekspresowej
Informacyjne;INFOR-11.png;Autostrada
Informacyjne;INFOR-12.png;Koniec autostrady
Informacyjne;INFOR-13.png;Początek pasa ruchu dla autobusów
Informacyjne;INFOR-14.png;Pas ruchu dla autobusów
Informacyjne;INFOR-15.png;Przystanek autobusowy
Informacyjne;INFOR-16.png;Przystanek tramwajowy
Informacyjne;INFOR-17.png;Parking
Informacyjne;INFOR-18.png;Szpital
Informacyjne;INFOR-19.png;Policja
Informacyjne;INFOR-20.png;Punkt opatrunkowy
Informacyjne;INFOR-21.png;Stacja paliwowa
Informacyjne;INFOR-22.png;Przejście podziemne dla pieszych
Informacyjne;INFOR-23.png;Przejście nadziemne dla pieszych
Informacyjne;INFOR-24.png;Tunel
Informacyjne;INFOR-25.png;Koniec tunelu
Informacyjne;INFOR-26.png;Strefa zamieszkania
Informacyjne;INFOR-27.png;Koniec strefy zamieszkania
Informacyjne;INFOR-28.png;Strefa parkowania
Informacyjne;INFOR-29.png;Koniec strefy parkowania
Informacyjne;INFOR-30.png;Obszar zabudowany
Informacyjne;INFOR-31.png;Koniec obszaru zabudowanego
Informacyjne;INFOR-32.png;Droga wewnętrzna
Informacyjne;INFOR-33.png;Koniec drogi wewnętrznej
Informacyjne;INFOR-34.png;Strefa ruchu
Informacyjne;INFOR-35.png;Koniec strefy ruchu
Kierunku_i_miejscowosci;KIERU-01.png;Tablica przeddrogowskazowa
Kierunku_i_miejscowosci;KIERU-02.png;Drogowskaz tablicowy umieszczany obok jezdni
Kierunku_i_miejscowosci;KIERU-03.png;Drogowskaz w kształcie strzały do miejscowości wskazujący numer drogi
Kierunku_i_miejscowosci;KIERU-04.png;Drogowskaz w kształcie strzały do miejscowości podający do niej odległość
Kierunku_i_miejscowosci;KIERU-05.png;Drogowskaz do dzielnicy miasta
Kierunku_i_miejscowosci;KIERU-06.png;Tablica kierunkowa
